22:4:32 [SYSTEM] | Log was cleared
22:4:34 [INPUT] | Key pressed [D]
22:4:34 [INPUT] | Key pressed [S]
22:4:35 [INPUT] | Key pressed [A]
22:4:35 [INPUT] | Key released [A]
22:4:36 [INPUT] | Key released [S]
22:4:36 [INPUT] | Key released [D]
22:4:37 [INPUT] | Window resized (960, 720) -> (1920, 1057)
22:4:38 [INPUT] | Window resized (1920, 1057) -> (960, 720)
22:4:38 [INPUT] | Key pressed [S]
22:4:38 [INPUT] | Key pressed [D]
22:4:44 [INPUT] | Key released [D]
22:4:45 [INPUT] | Key pressed [A]
22:4:45 [INPUT] | Key released [A]
22:4:45 [INPUT] | Key pressed [D]
22:4:45 [INPUT] | Key pressed [A]
22:4:46 [INPUT] | Key released [D]
22:4:46 [INPUT] | Key released [A]
22:4:46 [INPUT] | Key pressed [D]
22:4:46 [INPUT] | Key pressed [A]
22:4:46 [INPUT] | Key released [D]
22:4:47 [INPUT] | Key released [A]
22:4:47 [INPUT] | Key pressed [D]
22:4:47 [INPUT] | Key released [D]
22:4:48 [INPUT] | Key pressed [A]
22:4:48 [INPUT] | Key released [A]
22:4:48 [INPUT] | Key pressed [D]
22:4:49 [INPUT] | Key released [S]
22:4:50 [INPUT] | Key pressed [W]
22:4:50 [INPUT] | Key released [W]
22:4:50 [INPUT] | Key pressed [W]
22:4:51 [INPUT] | Key released [D]
22:4:51 [INPUT] | Key pressed [A]
22:4:54 [INPUT] | Key released [A]
22:4:55 [INPUT] | Key released [W]
22:4:56 [INPUT] | Window resized (960, 720) -> (1920, 1057)
22:5:1 [INPUT] | Window resized (1920, 1057) -> (960, 720)
